"","Set 1:","Sexes","combined","","","","","","","","","","","","","","",""
"","Weight","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","473","0.2","0","0.7","2.1","0.7","3.5","0.31","1.08","","","","","","","","",""
" 0-5","74","0","0","0.7","4.1","0","9.2","0.11","1.25","","","","","","","","",""
" 6-11","87","1.1","0","4","4.6","0","9.6","0.36","1.2","","","","","","","","",""
" 12-23","109","0","0","0.5","1.8","0","4.8","0.37","1.02","","","","","","","","",""
" 24-35","73","0","0","0.7","0","0","0.7","0.49","1.08","","","","","","","","",""
" 36-47","64","0","0","0.8","1.6","0","5.4","0.09","0.87","","","","","","","","",""
" 48-60","66","0","0","0.8","0","0","0.8","0.38","0.94","","","","","","","","",""
"","Length","/height","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","473","0.4","0","1.1","5.3","3.2","7.4","-0.15","1.12","","","","","","","","",""
" 0-5","74","0","0","0.7","2.7","0","7.1","-0.06","1.37","","","","","","","","",""
" 6-11","87","1.1","0","4","8","1.8","14.3","-0.1","1.3","","","","","","","","",""
" 12-23","109","0.9","0","3.2","7.3","2","12.7","-0.22","1.14","","","","","","","","",""
" 24-35","73","0","0","0.7","1.4","0","4.7","-0.18","0.87","","","","","","","","",""
" 36-47","64","0","0","0.8","6.3","0","13","-0.29","0.93","","","","","","","","",""
" 48-60","66","0","0","0.8","4.5","0","10.3","-0.02","0.98","","","","","","","","",""
"","Weight","-for-","length","/height","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","473","0.2","0","0.7","0.6","0","1.5","32.8","28.4","37.1","7.2","4.8","9.6","1.1","0","2.1","0.56","1.03"
" 0-5","74","1.4","0","4.7","1.4","0","4.7","25.7","15","36.3","2.7","0","7.1","0","0","0.7","0.25","1.08"
" 6-11","87","0","0","0.6","1.1","0","4","41.4","30.5","52.3","6.9","1","12.8","1.1","0","4","0.63","1.06"
" 12-23","109","0","0","0.5","0","0","0.5","33.9","24.6","43.3","5.5","0.8","10.2","0.9","0","3.2","0.63","0.95"
" 24-35","73","0","0","0.7","0","0","0.7","41.1","29.1","53.1","19.2","9.5","28.9","2.7","0","7.2","0.8","1.19"
" 36-47","64","0","0","0.8","0","0","0.8","21.9","11","32.8","3.1","0","8.2","0","0","0.8","0.4","0.8"
" 48-60","66","0","0","0.8","1.5","0","5.2","28.8","17.1","40.5","6.1","0","12.6","1.5","0","5.2","0.56","0.96"
"","BMI","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","473","0.2","0","0.7","0.8","0","1.8","32.6","28.2","36.9","8.2","5.7","10.8","0.8","0","1.8","0.57","1.04"
" 0-5","74","1.4","0","4.7","2.7","0","7.1","24.3","13.9","34.8","6.8","0.4","13.2","0","0","0.7","0.22","1.16"
" 6-11","87","0","0","0.6","1.1","0","4","34.5","23.9","45","8","1.8","14.3","0","0","0.6","0.56","1.08"
" 12-23","109","0","0","0.5","0","0","0.5","37.6","28.1","47.2","6.4","1.4","11.5","0.9","0","3.2","0.71","0.93"
" 24-35","73","0","0","0.7","0","0","0.7","43.8","31.8","55.9","20.5","10.6","30.5","2.7","0","7.2","0.85","1.2"
" 36-47","64","0","0","0.8","0","0","0.8","20.3","9.7","31","3.1","0","8.2","0","0","0.8","0.4","0.79"
" 48-60","66","0","0","0.8","1.5","0","5.2","30.3","18.5","42.1","4.5","0","10.3","1.5","0","5.2","0.6","0.95"
"","Set 2:","Males","","","","","","","","","","","","","","","",""
"","Weight","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","246","0.4","0","1.4","2.8","0.6","5.1","0.25","1.12","","","","","","","","",""
" 0-5","45","0","0","1.1","4.4","0","11.6","0.06","1.29","","","","","","","","",""
" 6-11","41","2.4","0","8.4","7.3","0","16.5","0.27","1.38","","","","","","","","",""
" 12-23","56","0","0","0.9","3.6","0","9.3","0.19","1.05","","","","","","","","",""
" 24-35","39","0","0","1.3","0","0","1.3","0.38","1.02","","","","","","","","",""
" 36-47","32","0","0","1.6","0","0","1.6","0.18","0.82","","","","","","","","",""
" 48-60","33","0","0","1.5","0","0","1.5","0.47","0.98","","","","","","","","",""
"","Length","/height","-for-","age","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","246","0.8","0","2.1","6.9","3.5","10.3","-0.22","1.23","","","","","","","","",""
" 0-5","45","0","0","1.1","4.4","0","11.6","-0.21","1.5","","","","","","","","",""
" 6-11","41","2.4","0","8.4","14.6","2.6","26.7","-0.3","1.58","","","","","","","","",""
" 12-23","56","1.8","0","6.1","10.7","1.7","19.7","-0.33","1.2","","","","","","","","",""
" 24-35","39","0","0","1.3","2.6","0","8.8","-0.23","0.91","","","","","","","","",""
" 36-47","32","0","0","1.6","3.1","0","10.7","-0.26","0.91","","","","","","","","",""
" 48-60","33","0","0","1.5","3","0","10.4","0.11","1.01","","","","","","","","",""
"","Weight","-for-","length","/height","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","246","0","0","0.2","0.8","0","2.1","32.1","26.1","38.2","6.1","2.9","9.3","1.2","0","2.8","0.52","1.02"
" 0-5","45","0","0","1.1","0","0","1.1","28.9","14.5","43.2","2.2","0","7.6","0","0","1.1","0.29","1.04"
" 6-11","41","0","0","1.2","2.4","0","8.4","41.5","25.2","57.8","7.3","0","16.5","2.4","0","8.4","0.66","1.1"
