"","Set 1:","Sexes","combined","","","","","","","","","","","","","","",""
"","Weight","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","105","1.9","0","5","15.2","7.9","22.6","-0.82","1.19","","","","","","","","",""
" 0-5","31","3.2","0","11.1","19.4","3.8","34.9","-0.93","1.01","","","","","","","","",""
" 6-11","49","2","0","7","16.3","5","27.7","-0.96","1.23","","","","","","","","",""
" 12-23","15","0","0","3.3","13.3","0","33.9","-0.71","1.39","","","","","","","","",""
" 24-35","4","0","0","12.5","0","0","12.5","-0.17","0.95","","","","","","","","",""
" 36-47","3","0","0","16.7","0","0","16.7","-0.47","0.81","","","","","","","","",""
" 48-60","3","0","0","16.7","0","0","16.7","0.68","0.92","","","","","","","","",""
"","Length","/height","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","105","12.4","5.6","19.2","32.4","23","41.8","-1.36","1.71","","","","","","","","",""
" 0-5","31","9.7","0","21.7","19.4","3.8","34.9","-0.95","1.38","","","","","","","","",""
" 6-11","49","10.2","0.7","19.7","40.8","26","55.6","-1.45","1.83","","","","","","","","",""
" 12-23","15","26.7","1","52.4","40","11.9","68.1","-2.03","1.57","","","","","","","","",""
" 24-35","4","25","0","79.9","25","0","79.9","-2.33","2.39","","","","","","","","",""
" 36-47","3","0","0","16.7","33.3","0","103.3","-0.59","2.04","","","","","","","","",""
" 48-60","3","0","0","16.7","0","0","16.7","-0.24","1.56","","","","","","","","",""
"","Weight","-for-","length","/height","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","105","1","0","3.3","3.8","0","7.9","21","12.7","29.2","3.8","0","7.9","1","0","3.3","0.04","1.27"
" 0-5","31","0","0","1.6","3.2","0","11.1","12.9","0","26.3","3.2","0","11.1","0","0","1.6","-0.31","1.11"
" 6-11","49","2","0","7","6.1","0","13.9","16.3","5","27.7","2","0","7","0","0","1","-0.05","1.24"
" 12-23","15","0","0","3.3","0","0","3.3","33.3","6.1","60.5","6.7","0","22.6","6.7","0","22.6","0.44","1.49"
" 24-35","4","0","0","12.5","0","0","12.5","75","20.1","129.9","25","0","79.9","0","0","12.5","1.51","0.78"
" 36-47","3","0","0","16.7","0","0","16.7","0","0","16.7","0","0","16.7","0","0","16.7","-0.17","1.16"
" 48-60","3","0","0","16.7","0","0","16.7","66.7","0","136.7","0","0","16.7","0","0","16.7","1.21","0.19"
"","BMI","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","105","1.9","0","5","3.8","0","7.9","23.8","15.2","32.4","5.7","0.8","10.6","1.9","0","5","0.01","1.37"
" 0-5","31","0","0","1.6","3.2","0","11.1","6.5","0","16.7","3.2","0","11.1","0","0","1.6","-0.5","1.06"
" 6-11","49","4.1","0","10.6","6.1","0","13.9","20.4","8.1","32.7","2","0","7","0","0","1","-0.12","1.3"
" 12-23","15","0","0","3.3","0","0","3.3","46.7","18.1","75.2","20","0","43.6","6.7","0","22.6","0.76","1.57"
" 24-35","4","0","0","12.5","0","0","12.5","75","20.1","129.9","25","0","79.9","25","0","79.9","1.95","1.26"
" 36-47","3","0","0","16.7","0","0","16.7","0","0","16.7","0","0","16.7","0","0","16.7","-0.13","1.26"
" 48-60","3","0","0","16.7","0","0","16.7","100","83.3","116.7","0","0","16.7","0","0","16.7","1.27","0.1"
"","Set 2:","Males","","","","","","","","","","","","","","","",""
"","Weight","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","37","5.4","0","14","21.6","7","36.2","-0.97","1.47","","","","","","","","",""
" 0-5","10","10","0","33.6","30","0","63.4","-1.43","0.95","","","","","","","","",""
" 6-11","15","6.7","0","22.6","33.3","6.1","60.5","-1.43","1.5","","","","","","","","",""
" 12-23","6","0","0","8.3","0","0","8.3","-0.02","1.67","","","","","","","","",""
" 24-35","2","0","0","25","0","0","25","-0.29","1.53","","","","","","","","",""
" 36-47","1","0","0","50","0","0","50","-1.4", ,"","","","","","","","",""
" 48-60","3","0","0","16.7","0","0","16.7","0.68","0.92","","","","","","","","",""
"","Length","/height","-for-","age","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","37","21.6","7","36.2","45.9","28.5","63.4","-1.84","1.58","","","","","","","","",""
" 0-5","10","20","0","49.8","30","0","63.4","-1.56","1.04","","","","","","","","",""
" 6-11","15","33.3","6.1","60.5","73.3","47.6","99","-2.52","1.58","","","","","","","","",""
" 12-23","6","0","0","8.3","16.7","0","54.8","-0.92","0.66","","","","","","","","",""
" 24-35","2","50","0","144.3","50","0","144.3","-3.14","3.8","","","","","","","","",""
" 36-47","1","0","0","50","100","50","150","-2.26", ,"","","","","","","","",""
" 48-60","3","0","0","16.7","0","0","16.7","-0.24","1.56","","","","","","","","",""
"","Weight","-for-","length","/height","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","37","0","0","1.4","0","0","1.4","24.3","9.1","39.5","8.1","0","18.3","2.7","0","9.3","0.22","1.41"
" 0-5","10","0","0","5","0","0","5","10","0","33.6","0","0","5","0","0","5","-0.44","1.1"
" 6-11","15","0","0","3.3","0","0","3.3","13.3","0","33.9","6.7","0","22.6","0","0","3.3","0.13","1.27"
" 12-23","6","0","0","8.3","0","0","8.3","33.3","0","79.4","16.7","0","54.8","16.7","0","54.8","0.52","2.15"
" 24-35","2","0","0","25","0","0","25","100","75","125","50","0","144.3","0","0","25","1.97","0.78"
